VILLAGE NAME,VILLAGE PIN CODE,NUMBER OF TOTAL POPULATION,NUMBER OF MALE,NUMBER OF FEMALE,NUMBER OF TOTAL HOUSEHOLD,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN FARM ACTIVITIES,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN NON-FARM ACTIVITIES,"TOTAL CULTIVABLE AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF FARMERS USING DRIP/SPRINKLER IRRIGATION ,"TOTAL AREA IRRIGATED (IN HECTARE), IF IN ACRES DIVIDE BY 2.47","TOTAL UNIRRIGATED LAND AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF HOUSEHOLDS WITH KUCCHA WALL AND KUCCHA ROOF ,NUMBER OF HOUSEHOLDS WHO HAVE GOT A PMAY HOUSE (COMPLETED OR SANCTIONED),NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST,NUMBER OF HOUSEHOLDS WHO GOT BENEFIT FROM ANY STATE SPECIFIC HOUSING SCHEME?,NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST OF STATE SPECIFIC HOUSING SCHEME?,NUMBER  OF HOUSEHOLDS AVAILING THE BENEFITS UNDER SAUBHAGYA SCHEME,AVAILABILITY OF VOCATIONAL TRAINING CENTRE/POLYTECHNIC/ITI/RSETI /DDU-GKY,TOTAL NUMBER OF FARMERS ,NUMBER OF FARMERS RECEIVED THE SOIL TESTING REPORT,TOTAL APPROVED LABOUR BUDGET FOR THE YEAR 2018-19,NUMBER OF HOUSEHOLDS HAVING PIPED WATER CONNECTION ,Cluster
Ayiloor,678510,8999,4394,4605,2188,1206,975,773.9,12,503.0,270.9,2,2,2,7,5,15,265,976,186,5172000.0,1922,3
Kairady,678510,8626,4159,4467,1939,1121,818,1568.0,7,419.67,60.17,87,1,5,5,3,7,124,896,184,5216000.0,1049,3
Thiruvazhiyad,678510,10794,5266,5528,2521,1520,1001,1451.6,18,635.2,708.25,98,1,2,3,8,7,254,916,328,5048000.0,1867,3
Kunnumma,686534,16,7,9,6,6,0,496.48,0,481.56,14.89,0,0,0,0,0,0,0,10,0,0.0,0,3
Kavalam,688506,8579,4238,4341,2065,415,208,578.15,0,394.17,162.99,1,3,9,41,110,0,1,3865,80,25920000.0,0,3
Neelamperoor,686534,4840,2362,2478,1171,234,120,764.65,0,555.07,209.56,1,2,8,32,101,0,1,2598,64,14580000.0,0,3
Kottukkal,691519,18400,8588,9812,4829,550,958,1925.06,2,38.5,1686.56,28,6,10,102,0,4,18,1835,840,40312050.0,738,3
Kumaranallur,673602,19586,9243,10343,4300,174,1240,1911.0,2,115.0,1796.0,282,19,282,71,24,0,45,6205,43,31000000.0,1368,1
Kakkad,673602,11950,5871,6079,2547,173,1140,1029.0,2,32.0,997.0,151,10,151,38,13,0,22,3105,36,19000000.0,742,3
Perumanna (CT),673019,35460,17479,17981,7979,74,2602,1268.0,12,70.0,1116.0,6,20,1,68,183,0,25,6000,2000,11849746.0,311,1
Nanmanda (CT),673613,27316,12910,14406,6761,339,1831,1892.0,3,18.0,1822.0,218,0,128,90,4,0,0,1350,42,35800000.0,892,1
Edarikode,676501,32548,16619,15929,5223,2092,3131,890.59,311,100.39,757.93,0,3,0,15,0,113,0,4370,150,6258000.0,2140,1
Ayiroor,628317,21797,10206,11591,6140,348,5548,2018.0,1,73.54,1911.21,134,0,162,38,143,12,146,2364,1415,211.77,3890,1
Kannamangalam (CT),690106,23344,10873,12471,6169,1264,3718,843.0,6,218.53,386.27,33,3,8,68,13,0,7,4123,65,29200000.0,2873,1
Raroth,673573,5531,2690,2841,1342,41,368,144.42,0,3.2,137.68,243,2,84,16,267,0,1,545,29,14770438.0,192,3
Kedavur,673573,6327,2978,3349,1417,102,350,254.5,10,4.3,248.3,145,3,34,21,189,0,1,614,37,16785162.0,666,3
Kattippara,673573,10848,5229,5619,2559,174,681,2119.08,10,20.5,2097.02,222,14,116,126,379,0,4,1114,80,42333400.0,1207,3
Kadakkal,691536,30719,14110,16609,8279,832,1929,2551.75,15,65.43,2319.38,14,7,33,104,0,512,148,4300,2000,45688000.0,1637,1
Kareepra,691509,30099,14090,16009,7774,575,2160,2044.03,18,165.0,1689.49,19,10,49,102,129,138,16,4800,650,56286700.0,2088,1
Mangalam,676561,40124,19861,20263,7893,158,7735,848.83,5,106.32,739.77,1443,4,55,156,140,9,40,1872,120,21521070.0,2150,2
Ramankary,689595,13332,6410,6922,3237,1192,2045,1311.03,0,1118.38,180.08,20,3,12,27,0,13,0,1450,110,29940000.0,350,3
Kunnathur,690540,25009,11853,13156,6544,1308,4135,1749.37,5,139.22,1546.4,42,1,35,32,35,50,62,4618,242,235240000.0,3697,1
Sasthamkotta,690521,33285,15870,17415,8426,1838,5578,1466.34,4,244.24,990.84,94,0,18,47,52,34,105,4344,60,475875000.0,4914,1
Sooranad South,690522,24766,11806,12960,6136,1350,4470,1192.47,0,206.56,721.12,57,1,9,161,72,21,0,4068,240,224522000.0,3210,1
Pooyappally,691537,24447,11445,13002,6405,660,1408,1937.98,13,162.42,1539.2,1,19,12,42,107,107,151,3310,540,66395000.0,2333,1
Perungala,690503,14201,6430,7771,3790,712,2251,693.19,4,76.38,416.55,17,1,5,32,9,0,42,137,28,17900000.0,226,3
Neduvathoor,691505,24749,11768,12981,6478,541,1718,1677.0,1,95.0,1486.0,8,5,33,166,12,117,5,2500,83,54987256.0,375,1
Mundakayam,686513,12299,6056,6243,3202,1589,1493,867.6,4,1.3,779.8,2,0,0,190,64,0,19,1560,640,21621868.0,547,3
Edakkunnam,686513,2048,991,1057,470,148,283,398.24,1,0.2,366.43,0,0,0,30,10,0,1,243,100,3378416.0,85,3
Erumeli North,686513,24098,11668,12430,5921,3129,2627,1708.09,8,2.55,1548.11,4,0,0,374,127,0,18,3071,1260,42568052.0,1075,1
Ezhukone,691505,23744,11168,12576,6165,446,1561,1414.8,1,450.4,920.1,8,17,2,109,2,253,47,6800,1053,68752700.0,780,1
Puthur,691507,1947,907,1040,508,156,214,309.0,2,13.45,246.55,8,5,0,15,7,0,28,165,139,11900000.0,78,3
Chekkiad (CT),673509,24246,11194,13052,5051,182,1022,2269.0,8,34.0,2212.0,43,0,62,0,28,0,0,638,22,100000000.0,695,1
Manakunnam (CT),682307,39538,19375,20163,9716,2720,3834,1064.57,100,65.24,999.33,0,17,0,16,1,1,0,3000,200,36040000.0,4433,1
Kulayettikara,682317,7914,3878,4036,1937,580,547,551.2,1,49.83,501.37,23,2,0,18,0,3,8,905,332,7255587.0,985,3
Keecherry,682317,6356,3145,3211,1573,475,416,419.57,1,37.93,381.64,19,2,0,14,0,3,6,762,279,6109968.0,829,3
Amballur (CT),682315,11358,5537,5821,2801,838,771,888.5,1,80.33,808.17,33,4,0,24,0,4,11,1333,489,10692444.0,1451,3
Kalayapuram,691507,10406,5023,5383,2832,654,1337,901.22,6,49.24,822.74,13,4,9,57,38,7,25,1098,304,14436000.0,138,3
Chirakkadavu,686506,29717,14430,15287,7386,4715,2671,3769.0,0,12.8,2458.56,0,3,171,1255,67,124,720,2380,0,14088560.0,1230,0
Cheruvally,686519,6447,3197,3250,1645,1470,175,963.1,0,4.4,820.5,0,1,38,63,47,28,720,488,0,2117001.0,50,3
Chempu,686605,21049,10416,10633,6252,4800,1409,1431.43,10,195.0,779.0,15,9,126,146,10,0,42,4900,187,168059248.0,3317,1
Thurayur (CT),673523,14176,6531,7645,3257,98,742,852.0,8,40.0,741.0,39,7,10,157,26,0,12,2140,40,61803250.0,102,3
Muthuthala (CT),679303,24861,11815,13046,5242,820,1421,1466.0,8,250.0,891.0,3,21,34,39,85,0,34,2107,26,37262500.0,2920,1
Edakkattuvayal,682313,11912,5817,6095,2966,919,411,1604.54,8,210.63,1393.91,6,1,0,24,0,12,75,2980,103,15916666.0,1599,3
Kaippattur,682313,6246,3051,3195,1579,489,239,713.14,4,93.62,619.52,5,0,0,18,0,8,33,1680,84,7958334.0,787,3
Kulakkada,691507,15148,7222,7926,3945,200,1715,1186.72,10,207.96,788.38,18,4,6,32,63,7,25,2420,308,15773700.0,195,3
Mancode,691559,24988,11574,13414,6531,2572,2413,1640.78,2,45.73,1566.59,13,8,53,194,0,10,24,5020,23,278420576.0,582,1
Chithara,691536,20268,9381,10887,5260,2012,1936,1987.45,3,64.78,1894.21,17,10,55,210,0,12,18,4285,16,260792656.0,473,1
Raroth,673582,5402,2625,2777,1181,81,204,183.0,41,14.0,169.0,7,2,24,7,78,0,4,435,14,5200000.0,890,3
Koodathayi,673573,9517,4498,5019,2240,149,614,812.0,41,25.0,787.0,28,6,70,21,233,0,4,1307,12,15600000.0,2110,3
Puthur,673582,18926,9073,9853,4254,153,1227,1015.0,52,40.0,975.0,22,12,140,41,467,0,12,4358,67,31200000.0,3100,1
Chathamangalam,627416,16816,8899,7917,3580,202,998,892.0,2,89.0,779.0,86,1,1,32,2,26,32,2662,456,21228284.0,1744,3
Poolacode (CT),673601,29872,14668,15204,6946,207,1784,2189.0,8,176.0,1991.0,133,1,1,46,6,40,72,4338,656,30548016.0,3546,1
Puthur,691507,7046,3026,4020,1762,113,975,421.37,4,23.02,344.68,13,4,10,15,38,7,37,1352,203,1682000.0,91,3
Poruvazhy,690520,28722,13669,15053,7231,2286,3815,1675.61,6,443.45,1172.49,96,2,10,115,50,15,296,10286,62,355487000.0,3986,1
Kummil,691536,20383,9257,11126,5301,338,1224,1725.05,5,52.08,1528.07,16,3,25,10,0,306,36,2214,488,157000000.0,162,1
Koorachundu,673527,17027,8424,8603,4155,461,1057,6074.0,0,97.0,5944.0,300,15,4,43,26,0,14,4200,10,40000000.0,1620,0
Perambra,673526,5580,2644,2936,1334,91,380,384.0,5,9.0,346.0,23,4,6,40,2,1,0,1421,54,38940000.0,122,3
Koothali (CT),673526,11389,5525,5864,2793,186,771,781.0,8,18.0,750.0,46,8,12,81,5,3,0,2885,121,79060000.0,271,3
Chengottukavu,673306,26791,12446,14345,6409,133,1867,1058.0,8,5.0,929.0,10,4,4,67,4,0,0,4100,250,36000000.0,1174,1
Attoor,680583,7327,3473,3854,1590,64,447,412.64,18,136.38,276.26,0,16,0,12,17,0,12,490,32,14133142.0,1220,3
Mullurkara,680583,13491,6523,6968,2957,81,893,723.47,12,289.15,434.32,0,12,0,41,52,0,8,880,82,14133142.0,1220,3
Krishnapuram (CT),690533,26705,12466,14239,6834,627,3400,907.39,0,16.17,791.96,68,12,22,169,9,0,23,6950,0,77031700.0,812,1
Velloor,686609,22785,11297,11488,7882,1850,2915,1350.0,8,149.0,864.0,103,13,25,8,78,3,82,2540,0,16146845.0,2763,1
Melila,691508,21936,10196,11740,5888,545,1305,1614.35,14,104.3,1432.27,9,18,36,74,165,20,75,3124,257,32520000.0,678,1
Kizhakkoth,673572,31261,14855,16406,6940,301,1251,1725.0,20,41.0,1684.0,192,31,116,24,85,0,44,4100,30,22580000.0,3639,1
Narikkuni,673585,24290,11596,12694,5788,267,1497,1417.0,28,23.0,1371.0,38,42,0,37,0,0,28,9123,750,33118992.0,1010,1
Unnikulam,673574,27634,13143,14491,6431,364,1810,1572.0,0,35.0,1533.0,103,16,6,57,57,0,26,5995,75,55000000.0,1280,1
Sivapuram,673216,21714,10295,11419,5300,300,1380,1690.0,0,37.0,1651.0,74,19,85,45,45,0,20,5005,68,65000000.0,1005,1
Enanalloor,686668,22561,11392,11169,5480,3246,2234,2700.95,45,637.2,2063.75,0,7,15,44,56,3,29,2702,1600,17486050.0,1827,0
Thamarakkulam,690530,27017,12624,14393,7062,924,4236,1636.3,10,501.14,830.58,3,18,11,89,0,0,91,6845,1030,50000000.0,4247,1
Thanneermukkam South,688525,25861,12553,13308,6446,644,5567,906.0,25,486.55,85.5,102,1,14,32,27,0,11,966,55,81354000.0,3877,1
Puthur,691507,4104,1762,2342,1226,201,343,236.48,0,18.4,205.12,3,4,13,17,71,0,23,402,216,9250000.0,5,3
Kalayapuram,691560,13810,6625,7185,3470,469,1308,762.97,3,39.18,593.56,6,10,22,58,102,2,54,1210,565,23170000.0,7,3
Mylom,691560,16176,7696,8480,4132,569,1391,1520.72,3,84.68,1369.03,10,20,33,81,165,1,51,2586,569,24300000.0,10,3
Monippally,686636,4090,2018,2072,1091,709,327,960.06,31,61.01,868.05,0,0,0,5,1,3,0,780,90,6563214.0,406,3
Kurichithanam,686634,9383,4734,4649,2302,1496,576,1343.45,41,91.03,1212.42,0,9,2,6,19,13,4,1895,180,8506781.0,897,3
Elackad,686635,4285,2057,2228,914,594,228,943.65,40,66.2,842.94,0,1,0,2,9,10,0,1062,30,8504517.0,418,3
Poonjar Nadubhagam,686581,3795,1834,1961,907,564,62,237.59,10,3.12,181.46,3,2,4,14,20,0,0,3146,15,4349746.0,489,3
Poonjar,686581,8854,4385,4469,2115,1318,125,1654.94,25,5.75,1217.07,3,3,8,36,85,0,0,8367,30,10148754.0,603,3
Mannanchery (CT),688538,36072,17509,18563,8605,1290,5593,642.68,6,497.61,56.68,29,0,7,220,125,5,72,5418,230,95076000.0,4475,1
Komalapuram (CT),688538,14918,7273,7645,3778,566,2456,395.78,2,260.98,114.78,13,0,5,162,60,2,27,1216,18,0.0,3548,3
Thalayazham,686607,20171,9923,10248,6497,4028,2014,1730.2,6,1051.0,210.0,75,18,18,107,169,10,78,3700,45,80362650.0,4232,1
T V Puram,686606,19511,9418,10093,4708,2542,1789,531.1,10,112.5,289.3,1,0,0,5,0,2,2384,4287,15,34052590.0,3971,1
Kulasekharamangalam,686608,22983,11413,11570,7587,4300,3287,1338.0,4,184.0,767.0,26,2,61,111,0,0,288,4416,1800,47498536.0,3178,1
Paravoor,688014,28749,13958,14791,6842,671,5580,491.39,2,365.5,96.25,40,8,8,228,228,0,624,2745,50,41221810.0,5497,1
Ambalappuzha North,688005,30492,15024,15468,6917,1100,5430,824.0,1,486.0,195.11,141,0,15,24,15,0,225,1100,150,72100000.0,6016,1
Kadaplamattom,686571,13046,6428,6618,3936,3127,809,1963.0,6,244.0,1710.0,9,1,0,4,2,13,0,3127,250,13711000.0,2234,3
Puthuppally (CT),686011,29319,14151,15168,7570,1438,6132,1778.3,8,196.08,1250.45,3,0,23,17,36,13,11,4432,27,12040000.0,1544,1
Chathurangapara,685554,3175,1621,1554,1039,702,197,1881.0,52,285.0,1388.6,28,0,0,69,5,1,0,1766,18,17837700.0,49,3
Udumbanchola,685554,9838,4977,4861,2721,2077,344,3724.0,108,402.0,2306.0,63,0,0,198,6,3,0,4626,22,29729500.0,43,0
Parathodu,685553,1046,511,535,358,252,47,1191.5,29,302.0,645.5,51,0,0,53,4,1,0,609,8,11890000.0,126,3
Vechoor,686144,17041,8315,8726,4168,3225,920,2004.19,14,1350.0,525.0,93,22,308,75,66,9,120,5600,12,34500000.0,3240,0
Kaduthuruthy,686604,19352,9609,9743,3903,1350,1700,1970.0,13,305.0,1665.0,35,6,3,18,0,12,22,1950,12,13818000.0,1995,3
Muttuchira,686613,15962,7864,8098,3798,1250,1850,1095.0,8,290.0,805.0,55,12,13,26,0,8,12,1370,8,8527000.0,1486,3
Polpully,678552,16500,8029,8471,3894,1090,732,1690.0,8,1077.0,612.0,33,0,223,120,150,0,28,1680,40,52702000.0,310,0
Ambalappuzha,688561,16338,7873,8465,3956,793,2692,547.2,5,486.11,61.09,0,0,0,48,48,0,34,1015,320,38392000.0,3365,3
Karumady,688561,6867,3199,3668,1725,676,913,348.4,3,223.0,46.4,0,0,0,85,85,0,15,839,180,19196000.0,1476,3
Punnapra (OG),688004,28377,13906,14471,6693,634,5516,641.98,3,518.25,111.73,4,18,14,100,14,0,327,3450,418,84688000.0,5286,1
Meenachil (Part),686589,761,363,398,198,152,42,142.0,0,4.0,133.0,4,0,0,2,0,0,0,225,75,997000.0,86,3
Poovarany,686577,16102,7959,8143,3848,2900,769,1343.0,8,32.0,1256.63,2,0,7,28,12,0,0,4296,1287,13800000.0,1986,3
Velinalloor,691510,28864,13499,15365,7233,807,1596,2418.01,8,114.52,2036.3,2,1,18,110,0,12,84,3618,2732,46000000.0,624,1
Mundrothuruth,691601,9440,4493,4947,3029,800,2229,517.2,2,2.0,515.2,36,5,21,44,5,12,14,1750,15,45510000.0,2989,3
Kizhakkekallada,691502,408,192,216,91,35,56,12.0,0,0.5,8.5,4,0,0,8,9,2,16,35,0,0.0,91,3
Madappally,686536,35245,17192,18053,8779,1878,3743,2012.58,5,77.96,1880.88,3,0,0,40,26,3,0,4500,528,11020504.0,2050,1
Perinad (CT),691603,33955,16444,17511,8719,2340,1515,543.48,20,14.0,455.44,172,17,114,152,276,16,34,4900,1650,46070000.0,8130,1
Kadalundi (OG),673301,42516,20381,22135,8651,129,7922,817.0,4,32.0,744.0,50,3,4,87,0,8,29,2360,90,37525000.0,6548,1
Olavanna (CT),673019,46400,22749,23651,10068,53,3256,1077.0,0,8.0,913.0,2,1,5,6,0,0,27,4133,15,31900000.0,4273,1
Pantheeramkavu (CT),673019,22032,10876,11156,5005,30,1628,539.0,3,4.0,456.0,2,0,1,5,0,0,0,2068,28,15900000.0,2136,3
Marakkara,676553,18187,8362,9825,3466,81,2872,897.75,16,251.2,646.55,0,0,4,4,34,0,0,1311,0,11350000.0,401,3
Melmuri,676553,22217,10637,11580,4249,100,3524,1097.98,14,230.26,691.98,0,0,5,5,51,0,0,1689,0,11730000.0,491,3
Eravipuram (OG) (Part),691011,2708,1295,1413,655,184,220,37.45,0,0.6,36.85,1,0,0,0,0,180,31,78,0,3140000.0,122,3
Thazhuthala (CT),691571,10378,5033,5345,2340,366,1974,172.55,0,0.07,172.48,6,0,0,0,0,0,139,622,0,3880000.0,618,3
Mayyanad (CT),691303,38805,18315,20490,9453,7418,1891,21.69,1,12.69,9.0,114,7,11,0,0,58,418,2232,5,18454000.0,6181,1
Mavoor (CT),673661,29781,14431,15350,6783,500,1500,1650.0,5,280.0,1100.0,129,13,15,0,0,1,110,3800,195,50000000.0,3135,1
Baisonvally,685565,13941,6993,6948,3486,2096,1081,4156.43,1156,1989.7,2166.73,4,0,0,98,30,0,14,5437,531,49855000.0,1158,0
Irimbranallur,680510,3200,1406,1794,784,219,447,560.07,2,429.87,128.31,11,1,6,8,20,0,3,482,365,1525570.0,134,3
Kundazhiyur,680513,10583,4742,5841,2338,304,1590,574.79,4,202.56,284.9,51,20,50,11,33,0,7,1139,972,4068190.0,309,3
Malampuzha-I,678651,11879,5839,6040,2842,284,750,1881.0,3,318.45,519.28,39,12,14,120,118,81,364,457,0,38622736.0,1102,3
Malampuzha-II,678732,2600,1294,1306,642,48,157,747.0,1,220.38,342.72,15,3,4,35,32,23,26,279,0,16346300.0,127,3
Manjoor,686603,14696,7266,7430,3729,1300,1800,1520.0,10,320.0,1200.0,12,0,0,6,156,4,119,3200,1500,19250000.0,395,3
Kothanalloor,686632,13192,6458,6734,3300,1300,1400,1153.0,4,144.0,540.0,0,9,0,2,71,1,85,3421,126,15750000.0,324,3
Venkitangu (CT),680510,11335,5204,6131,2681,643,1635,659.64,9,337.95,311.94,20,17,34,29,40,0,16,1486,1003,3051140.0,149,3
Njeezhoor,686612,17608,8777,8831,4362,1430,2564,2644.0,125,89.41,2203.6,0,16,56,31,0,7,124,2800,250,19300000.0,2511,0
Palery,673508,14680,6933,7747,3379,1426,852,1111.0,0,29.0,1082.0,99,25,32,120,0,0,0,1125,36,82500000.0,1625,3
Changaroth,673525,17427,8369,9058,4169,1130,852,1421.0,3,34.0,1217.0,103,39,36,122,2,0,0,1311,25,94300000.0,2036,3
Muthalamada-I,678507,21868,10976,10892,5385,1489,1265,5150.0,160,2355.0,2510.0,165,20,150,150,1,0,240,916,2,97119740.0,2216,0
Muthalamada-II,678507,15192,7425,7767,3313,786,716,1840.0,49,867.0,570.0,136,25,125,135,2,0,160,1341,0,64746500.0,1253,3
Ayarkunnam,686564,34555,17251,17304,8509,2070,6439,2306.55,10,226.6,1872.98,0,5,1,36,96,30,18,4000,95,16900000.0,6502,1
Peruvemba,678531,19312,9471,9841,4912,927,1297,1710.0,12,890.0,478.0,20,0,0,173,21,47,208,1400,200,31363000.0,1976,1
Vellavoor,686543,17115,8335,8780,4329,1515,1177,1984.8,6,4.8,1952.7,32,10,59,43,0,0,0,3600,3,32519520.0,1078,3
Thuneri (CT),673505,23421,10693,12728,5212,92,1232,1157.0,2,50.0,1020.0,37,6,13,70,0,0,10,2451,0,8350000.0,30,3
Chemancheri (CT),673304,34819,16112,18707,8090,310,2238,1307.0,10,10.0,1182.0,77,5,2,82,3,0,0,4600,100,34136000.0,2062,1
Aroor (CT),688534,37817,18882,18935,9115,232,8682,784.53,25,239.09,109.46,0,0,14,118,14,29,0,2358,40,56952000.0,9009,1
Ezhupunna (CT),688537,1482,619,863,476,318,158,784.53,0,0.0,0.0,0,0,0,0,0,0,0,318,0,0.0,0,3
Oachira (CT),690526,28412,13139,15273,7494,750,6744,1074.65,2,35.93,760.09,32,17,220,485,82,38,28,8378,75,509800000.0,3842,1
Bharananganam,686578,15848,7862,7986,3662,3200,462,2336.68,30,42.06,2156.23,0,4,200,89,66,100,0,3200,100,18000000.0,1941,0
Naduvattom (CT),679308,30546,14785,15761,8038,4200,2834,1000.0,2,250.0,682.0,1,13,15,48,10,8,52,4238,0,118.13,1004,1
Kuttippuram (CT),679571,27088,13274,13814,7129,4820,2120,1177.2,6,251.58,640.0,0,8,10,30,12,4,79,4750,0,110.0,300,1
Kodiyathur,673602,28335,14013,14322,6024,225,1401,2341.0,13,252.0,1914.0,0,15,190,88,11,0,79,5542,232,10207215.0,4439,1
Chingoli (CT),690532,14981,6901,8080,4052,210,1450,518.85,5,9.92,508.93,47,5,21,57,94,0,312,3500,40,2303500.0,442,3
Kuruvattur (CT),673571,34241,16451,17790,8151,118,2470,1394.0,13,34.0,1308.0,0,3,268,75,268,0,427,3120,3070,25500000.0,3780,1
Kodanad,683544,14244,7036,7208,3502,890,1910,661.0,40,288.0,373.0,4,1,10,22,112,10,15,1560,19,14043900.0,2111,3
Koovappady (CT),683544,21997,10950,11047,5554,1290,3550,1035.0,60,452.0,583.0,8,3,15,22,167,17,200,2440,31,21966100.0,4927,1
Villiappally (CT),673542,34502,15948,18554,7829,187,1878,1423.0,1,17.0,1398.0,6,12,8,40,1,0,0,2670,48,21074316.0,1654,1
Irimbiliyam (CT),679572,30635,14557,16078,5904,350,1350,2013.12,15,784.11,1046.58,2,11,2,38,260,5,35,2163,24,22581076.0,1285,1
Thalakkulathur (CT),673303,29388,13753,15635,6897,174,2086,1447.0,4,27.0,1330.0,182,3,1,9,376,0,0,174,0,25040400.0,2208,1
Talikkulam (CT),680569,33406,16027,17379,7999,4000,3999,882.58,2,238.34,615.84,178,1,149,100,129,0,81,4000,1200,68736000.0,712,1
Vazhoor,686504,1748,736,1012,386,60,150,149.5,0,0.5,149.0,0,2,0,2,3,0,1,102,0,600000.0,200,3
Kangazha,686541,18367,8990,9377,4677,656,1374,2367.0,2,15.03,2134.0,5,6,0,52,0,40,14,2860,0,12649000.0,2550,3
Purakkad,688561,29782,14383,15399,7219,1075,5408,1266.75,2,1052.0,214.75,136,3,44,19,247,0,0,1980,300,62251430.0,5482,1
Changanassery (Part),686102,4754,2269,2485,1116,608,337,1340.0,0,1180.0,110.0,16,2,4,12,18,0,0,940,8,1423000.0,264,3
Thrikkodithanam (CT),686105,42,15,27,11,6,3,2.6,0,0.5,2.0,2,1,0,0,1,0,0,7,0,150000.0,6,3
Paippad (CT),686548,19132,8115,11017,4729,1052,1573,459.0,0,186.25,253.25,42,3,8,28,64,0,0,3250,42,8630000.0,852,3
Erimayur-I,678546,15319,7461,7858,3507,986,1870,1035.0,12,465.0,531.0,30,0,2,7,5,0,460,1860,239,25000000.0,3485,3
Erimayur-II,678681,15302,7501,7801,3563,995,1816,1169.0,25,758.0,346.0,45,0,0,7,0,0,310,765,220,24085000.0,3550,3
Chirakkara,691578,17342,8007,9335,4516,1246,3270,1179.0,30,77.0,1088.0,8,8,8,38,49,6,0,3375,375,43904250.0,3091,1
Kalluvathukkal,691578,232,110,122,52,18,34,0.85,0,0.0,0.85,0,0,0,0,0,0,0,0,0,0.0,21,3
Kunnamangalam (CT),673571,47396,23971,23425,10501,171,3345,1814.0,6,30.0,1704.0,43,1,5,40,102,0,145,4742,17,40343780.0,588,1
Kuttikkattoor (CT),673008,5827,2862,2965,1340,38,463,224.0,2,3.0,212.0,5,0,0,0,10,0,18,586,3,4986310.0,75,3
Thankamony,685602,5884,2949,2935,1425,1147,278,1388.0,6,117.0,1210.0,40,0,0,158,0,9,0,1233,8,18030500.0,207,3
Meenad (CT),691579,278,131,147,69,0,0,0.87,0,0.0,0.87,0,0,0,0,0,0,0,96,0,0.0,18,3
Paravoor (Part),691301,4528,2186,2342,1158,346,812,391.0,5,12.0,376.0,0,0,0,13,16,0,0,980,31,14634750.0,769,3
Parippally,691574,117,51,66,39,0,0,0.52,0,0.0,0.52,0,0,0,0,0,0,0,31,0,0.0,5,3
Poothakkulam (CT),691302,172,81,91,55,0,0,0.1,0,0.0,0.1,0,0,0,0,0,0,0,16,0,0.0,19,3
Thiruvanvandoor,689124,12662,5946,6716,3332,432,2317,652.75,0,272.25,308.6,42,0,10,7,27,0,1,1574,71,13500000.0,1484,3
Chengannur (Part),689121,2039,926,1113,570,84,436,80.45,0,26.2,46.15,6,0,2,0,3,0,0,294,9,0.0,248,3
Upputhode,685604,6187,3086,3101,1454,1152,302,1435.0,3,102.0,1054.0,30,6,0,149,0,12,0,1220,6,18064500.0,193,3
Kadakkarappally,688529,20110,9864,10246,4956,1020,3805,677.79,5,294.25,202.57,472,0,0,168,193,0,0,3234,42,7430482.0,2574,1
Chelakode,680587,4236,2027,2209,962,60,332,353.4,3,74.62,278.78,3,2,9,18,0,0,25,610,0,9000840.0,810,3
Mayannur,679105,6660,3218,3442,1524,165,461,706.8,5,149.26,557.54,4,3,12,32,0,0,59,1890,0,19999174.0,1212,3
Kondazhy,679106,11507,5556,5951,2715,354,761,800.43,5,168.89,631.54,6,3,20,25,0,0,31,1600,0,14000800.0,2100,3
Kedavoor,686671,15336,7554,7782,3739,1645,1607,2191.0,18,281.0,1910.0,0,20,12,149,250,21,25,1960,10,30336824.0,1120,0
Thekkumkara,680589,15267,7507,7760,3770,207,1390,864.2,6,342.53,521.663,3,7,3,10,4,8,5,4378,1121,17101142.0,3256,3
Karumathara,680589,3814,1848,1966,902,53,269,216.05,2,85.63,130.41,0,3,6,6,1,2,5,1042,280,4259273.0,780,3
Viruppakka,680589,2037,934,1103,474,29,143,115.335,4,45.714,69.62,0,3,1,10,3,2,6,582,149,2273747.0,458,3
Manalithara,680589,7581,3671,3910,1910,127,667,428.85,3,169.98,258.87,0,3,1,10,2,2,5,2164,554,8454497.0,1654,3
Pathiyoor (CT),690537,23460,10939,12521,6089,243,2584,912.81,23,71.99,634.78,26,8,20,24,16,0,12,4576,1058,42554444.0,490,1
Karavaloor (Part),691333,23947,11288,12659,6385,1145,5240,2152.3,5,25.39,2067.38,34,0,1,35,0,0,74,2450,512,12610300.0,380,1
Pathirappally (CT),688521,4829,2344,2485,1208,422,684,98.53,6,28.15,13.77,22,7,2,6,30,2,24,422,65,9000000.0,1183,3
Komalapuram (CT),688006,27436,13359,14077,6783,1702,4898,368.54,28,160.03,135.21,178,20,5,18,268,8,112,1840,510,103361888.0,4810,1
Parippally,691574,28524,13121,15403,7311,584,6069,1119.7,10,13.59,1058.2,0,20,87,231,3,24,8,3776,0,31908800.0,4386,1
Kalluvathukkal,691578,23961,11023,12938,6154,492,5108,1238.0,10,15.04,1169.8,0,17,68,181,3,28,7,3220,0,27232000.0,3692,1
